player,player_norm,gsis_id,pfr_player_id,team,position,season,as_of_week,games,snap_pct_L3,snap_pct_season,wopr_L3,wopr_season,target_share_L3,target_share_season,air_yards_share_L3,route_pct_L3,route_pct_season,route_pct_source,targets_L3,receptions_L3
Brock Wright,brock wright,00-0036754,WrigBr01,DET,TE,2026,1,1,51.0,51.0,0.0452,0.0452,0.0256,0.0256,0.0097,51.0,51.0,snap_proxy,1,1
Sione Vaki,sione vaki,00-0039364,VakiSi00,DET,RB,2026,1,1,29.0,29.0,0.0452,0.0452,0.0256,0.0256,0.0097,29.0,29.0,snap_proxy,1,1
Jacob Saylors,jacob saylors,00-0038896,SaylJa00,DET,RB,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Tay Martin,tay martin,00-0037524,MartTa00,DET,WR,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Tom Kennedy,tom kennedy,00-0035544,KennTo01,DET,WR,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Jackson Meeks,jackson meeks,nan,MeekJa00,DET,TE,2026,1,1,0.0,0.0,,,,,,0.0,0.0,snap_proxy,0,0
Tyler Conklin,tyler conklin,nan,ConkTy00,DET,TE,2026,1,1,13.0,13.0,,,,,,13.0,13.0,snap_proxy,0,0
Matthew Golden,matthew golden,00-0040667,GoldMa02,GB,WR,2026,1,1,82.0,82.0,0.6545,0.6545,0.3,0.3,0.2921,82.0,82.0,snap_proxy,12,6
Christian Watson,christian watson,00-0038124,WatsCh00,GB,WR,2026,1,1,76.0,76.0,0.4896,0.4896,0.2,0.2,0.2708,76.0,76.0,snap_proxy,8,6
Tucker Kraft,tucker kraft,00-0038996,KrafTu00,GB,TE,2026,1,1,66.0,66.0,0.3474,0.3474,0.15,0.15,0.1748,66.0,66.0,snap_proxy,6,3
Jayden Reed,jayden reed,00-0039146,ReedJa03,GB,WR,2026,1,1,57.0,57.0,0.3371,0.3371,0.175,0.175,0.1066,57.0,57.0,snap_proxy,7,3
Jonnu Smith,jonnu smith,00-0033858,SmitJo01,GB,TE,2026,1,1,47.0,47.0,0.1483,0.1483,0.075,0.075,0.0512,47.0,47.0,snap_proxy,3,2
MarShawn Lloyd,marshawn lloyd,00-0039811,LloyMa00,GB,RB,2026,1,1,44.0,44.0,0.0644,0.0644,0.025,0.025,0.0384,44.0,44.0,snap_proxy,1,0
Skyy Moore,skyy moore,00-0038090,MoorSk01,GB,WR,2026,1,1,6.0,6.0,0.0554,0.0554,0.025,0.025,0.0256,6.0,6.0,snap_proxy,1,0
Bo Melton,bo melton,00-0037091,MeltBo00,GB,WR,2026,1,1,12.0,12.0,0.0524,0.0524,0.025,0.025,0.0213,12.0,12.0,snap_proxy,1,1
Chris Brooks,chris brooks,00-0038685,BrooCh00,GB,RB,2026,1,1,56.0,56.0,0.0285,0.0285,0.025,0.025,-0.0128,56.0,56.0,snap_proxy,1,0
Kaleb Johnson,kaleb johnson,00-0040142,JohnKa03,GB,RB,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Josh Whyle,josh whyle,nan,WhylJo01,GB,TE,2026,1,1,16.0,16.0,,,,,,16.0,16.0,snap_proxy,0,0
Mark Redman,mark redman,nan,RedmMa00,GB,TE,2026,1,1,31.0,31.0,,,,,,31.0,31.0,snap_proxy,0,0
Nico Collins,nico collins,00-0036554,CollNi00,HOU,WR,2026,1,1,72.0,72.0,0.6663,0.6663,0.2703,0.2703,0.3727,72.0,72.0,snap_proxy,10,7
Dalton Schultz,dalton schultz,00-0034383,SchuDa00,HOU,TE,2026,1,1,66.0,66.0,0.3808,0.3808,0.2162,0.2162,0.0807,66.0,66.0,snap_proxy,8,4
Xavier Hutchinson,xavier hutchinson,00-0038618,HutcXa00,HOU,WR,2026,1,1,56.0,56.0,0.3672,0.3672,0.1622,0.1622,0.177,56.0,56.0,snap_proxy,6,3
Kayshon Boutte,kayshon boutte,00-0038608,BoutKa00,HOU,WR,2026,1,1,46.0,46.0,0.1506,0.1506,0.0541,0.0541,0.0994,46.0,46.0,snap_proxy,2,1
Jaylin Noel,jaylin noel,00-0040138,NoelJa00,HOU,WR,2026,1,1,30.0,30.0,0.1376,0.1376,0.0541,0.0541,0.0807,30.0,30.0,snap_proxy,2,2
David Montgomery,david montgomery,00-0035685,MontDa01,HOU,RB,2026,1,1,49.0,49.0,0.1325,0.1325,0.0811,0.0811,0.0155,49.0,49.0,snap_proxy,3,3
